timestamp,crazyflie_ActualState_pose_x,crazyflie_ActualState_pose_y,crazyflie_ActualState_pose_z,crazyflie_ActualState_vel_x,crazyflie_ActualState_vel_y,crazyflie_ActualState_vel_z,crazyflie_ActualState_ori_qx,crazyflie_ActualState_ori_qy,crazyflie_ActualState_ori_qz,crazyflie_ActualState_ori_qw,crazyflie_ActualState_ang_vel_x,crazyflie_ActualState_ang_vel_y,crazyflie_ActualState_ang_vel_z,cf_control_control_command_thrust,cf_control_control_command_torque_x,cf_control_control_command_torque_y,cf_control_control_command_torque_z
1781018419888228817,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419893775942,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419905222229,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419918876920,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419924398681,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419949803325,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419949827605,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419980621928,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018419983976619,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018419999068566,8.906612374001228e-20,1.3352824368251949e-19,-5.719148078661696e-07,0.0,0.0,0.0,-3.778205974905486e-19,-2.9968773600954524e-19,-1.228985942170425e-19,1.0,0.0,0.0,0.0,,,,
1781018420019926580,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1781018420050839583,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
